Iteracion,Tiempo (milisegundos)
100,3.040200000628829
200,7.030197000131011
300,8.998236000537872
400,10.181866999715567
500,10.992676001042128
600,12.580978000536561
700,13.679051000624895
800,14.292133999988437
900,16.099464001134038
1000,16.68335200101137
1100,17.493742000311613
1200,18.01400300115347
1300,20.78803100064397
1400,21.25186000019312
1500,21.612459000200033
1600,21.996597001329064
1700,27.019782001152635
1800,28.301473001018167
1900,28.989707000553608
2000,29.340808000415564
2100,29.67186500132084
2200,30.1674020010978
2300,30.43364300020039
2400,31.618741000071168
2500,31.878069000318646
2600,32.11134500056505
2700,32.405663000419736
2800,32.5930530000478
2900,32.81333800032735
3000,33.007013000547886
3100,33.62917499989271
3200,33.862940000370145
3300,34.12708600051701
3400,34.30337000079453
3500,34.474137000739574
3600,34.65070000104606
3700,34.82000000029802
3800,35.02289400063455
3900,35.61949400044978
4000,36.59597000107169
4100,36.80934100039303
4200,37.00916200131178
4300,37.20095100067556
4400,37.4057310000062
4500,37.598708000034094
4600,37.79294100031257
4700,38.00714999996126
4800,39.53622500039637
4900,39.72661800123751
5000,39.87251999974251
5100,40.00766600109637
5200,40.15538400039077
5300,41.85201300121844
5400,42.05567600019276
5500,42.21841000020504
5600,42.38456699997187
5700,42.56909199990332
5800,45.53365300036967
5900,45.6759930010885
6000,45.83265100046992
6100,45.9347620010376
6200,46.04623099975288
6300,46.152042999863625
6400,46.25422400049865
6500,46.36534400098026
6600,46.47122600115836
6700,46.583953000605106
6800,46.68445700034499
6900,46.87729400023818
7000,46.950279999524355
7100,47.02054199948907
7200,47.08996600098908
7300,50.95564300008118
7400,51.05915000103414
7500,51.179140999913216
7600,51.25834299996495
7700,51.3385220002383
7800,51.42002900131047
7900,51.49978999979794
8000,51.58171600103378
8100,51.66685499995947
8200,51.753111001104116
8300,51.84998399950564
8400,51.9432239998132
8500,52.03311200067401
8600,52.12369900010526
8700,52.21323800086975
8800,52.3557169996202
8900,52.446793001145124
9000,52.528579000383615
9100,52.60736200027168
9200,52.708984000608325
9300,52.8152850009501
9400,52.90978300012648
9500,52.99520100094378
9600,53.081527000293136
9700,53.18273000046611
9800,53.275761000812054
9900,53.362017000094056
10000,53.44694600068033
10100,53.54039600118995
10200,53.634265000000596
10300,53.740567000582814
10400,53.84491200000048
10500,53.93864200077951
10600,54.04221899993718
10700,54.135948000475764
10800,54.22444000095129
10900,54.31167400069535
11000,54.39143400080502
11100,54.47412900067866
11200,54.551934000104666
11300,54.64454600028694
11400,54.734713001176715
11500,54.821458000689745
11600,54.91344200074673
11700,54.999068999662995
11800,55.08825900033116
11900,55.205804999917746
12000,55.34730700030923
12100,55.458847001194954
12200,55.549503000453115
12300,55.64113700017333
12400,55.73402800038457
12500,55.82803700119257
12600,55.92232500016689
12700,56.00837199948728
12800,56.08939000032842
12900,56.186193000525236
13000,56.273427000269294
13100,56.36094000004232
13200,56.44286600127816
13300,56.544836999848485
13400,56.647716000676155
13500,56.74207399971783
13600,56.83608300052583
13700,56.92652999982238
13800,57.010830000042915
13900,57.10518800094724
14000,57.191863000392914
14100,57.285244001075625
14200,57.373595001176
14300,57.45649900101125
14400,57.586267000064254
14500,57.67364099994302
14600,57.76290100067854
14700,57.87157700024545
14800,57.97641099989414
14900,58.093189001083374
15000,58.17804799973965
15100,58.25738999992609
15200,58.33750000037253
15300,58.415794000029564
15400,58.54849600046873
15500,58.61568500101566
15600,58.679103000089526
15700,58.74629200063646
15800,61.14498300105333
15900,61.2476519998163
16000,61.376443000510335
16100,61.46346800029278
16200,61.55573000013828
16300,61.64680599980056
16400,61.74730999954045
16500,61.86304000020027
16600,62.0403720010072
16700,62.1590350009501
16800,62.30235300026834
16900,62.40711800009012
17000,62.519286001101136
17100,62.627543000504375
17200,62.733984000980854
17300,62.837770000100136
17400,62.93345499970019
17500,63.06315400078893
17600,63.313681000843644
17700,63.425010999664664
17800,63.526703000068665
17900,63.61680000089109
18000,63.7194699998945
18100,63.811941999942064
18200,63.899594999849796
18300,63.98354700021446
18400,64.07043099962175
18500,64.16912000067532
18600,64.26815699972212
18700,64.36356300115585
18800,64.46127299964428
18900,64.56415200047195
19000,64.67150099948049
19100,64.77794199995697
19200,64.88228799961507
19300,64.97769300080836
19400,65.07275000028312
19500,65.18058799952269
19600,65.29107899963856
19700,65.39067600108683
19800,65.49474200047553
19900,65.59112500026822
20000,65.70077900029719
20100,65.80749900080264
20200,65.90786400064826
20300,65.99754200130701
20400,66.08519500121474
20500,66.17941400036216
20600,66.28040700033307
20700,66.37616200000048
20800,66.47268499992788
20900,66.57535400055349
21000,66.66712800040841
21100,66.77552499994636
21200,66.88846100121737
21300,66.98777800053358
