Iteracion,Tiempo (milisegundos)
100,1.5452080015093088
200,2.004287000745535
300,2.410844000056386
400,3.31929299980402
500,3.7349290009588003
600,4.323986001312733
700,4.754987999796867
800,5.173977000638843
900,5.5808129999786615
1000,5.992468001320958
1100,6.40153899975121
1200,6.7953840009868145
1300,7.183501999825239
1400,7.561843000352383
1500,7.947166999801993
1600,8.341850001364946
1700,8.743937000632286
1800,9.147770000621676
1900,9.5307890009135
2000,9.940698999911547
2100,10.356894001364708
2200,10.749201999977231
2300,11.148426000028849
2400,11.532283000648022
2500,11.905385000631213
2600,12.301954001188278
2700,12.693424999713898
2800,13.078819001093507
2900,13.461350001394749
3000,13.85631300136447
3100,14.262450000271201
3200,17.616107000038028
3300,18.00317700020969
3400,20.37393100000918
3500,20.79550400003791
3600,21.20199100114405
3700,21.57558200135827
3800,22.271918000653386
3900,22.686925001442432
4000,23.102003000676632
4100,23.52357600070536
4200,23.92908500134945
4300,24.30553900077939
4400,24.741779001429677
4500,25.120748000219464
4600,25.730826999992132
4700,26.12467300146818
4800,26.498263001441956
4900,26.885683000087738
5000,27.273452000692487
5100,27.65989400073886
5200,28.041098000481725
5300,30.849349001422524
5400,31.226362001150846
5500,31.59981300123036
5600,31.960761999711394
5700,32.35125500150025
5800,32.74538000114262
5900,34.26509600132704
6000,34.661805000156164
6100,35.058304000645876
6200,35.4652800001204
6300,35.84627400152385
6400,36.23460200056434
6500,36.5934549998492
6600,36.97703400067985
6700,37.374580999836326
6800,37.74118700064719
6900,38.129933999851346
7000,39.22940400056541
7100,39.63854500092566
7200,40.039235001429915
7300,40.40898399986327
7400,40.810792000964284
7500,41.18612799979746
7600,41.576551001518965
7700,42.03199800103903
7800,42.419487999752164
7900,42.81535900011659
8000,43.21507100015879
8100,43.61911300010979
8200,44.044456999748945
8300,44.42810600064695
8400,44.83103000000119
8500,45.21125600114465
8600,45.59064400009811
8700,45.98735300078988
8800,46.35270200110972
8900,46.73139100149274
9000,47.108684001490474
9100,47.50211000069976
9200,47.896444000303745
9300,48.35747900046408
9400,48.75593400001526
9500,49.124146001413465
9600,49.518550001084805
9700,49.8968900013715
9800,50.28794199973345
9900,50.67522200010717
10000,51.131926000118256
10100,51.53561899997294
10200,51.938893001526594
10300,52.346288001164794
10400,52.758781000971794
10500,53.14801700040698
10600,53.98899800144136
10700,54.397371001541615
10800,54.96966500021517
10900,55.360856000334024
11000,55.73570400103927
11100,56.11544100008905
11200,56.50516599975526
11300,56.92282699979842
11400,57.284475000575185
11500,57.6545730009675
11600,58.03759300149977
11700,58.42026299983263
11800,58.81774100102484
11900,59.19049300067127
12000,59.64901300147176
12100,60.049073999747634
12200,60.45884400047362
12300,60.91345300152898
12400,61.30785700120032
12500,61.68535900115967
12600,62.06600400060415
12700,62.44357500039041
12800,62.84154099971056
12900,63.21555100008845
13000,63.594171000644565
13100,63.96587600000203
13200,64.35881300084293
13300,64.77228400111198
13400,65.16117100045085
13500,65.5419549997896
13600,65.93202900141478
13700,66.31944900006056
13800,66.70463300123811
13900,67.0914240013808
14000,67.48114900104702
14100,67.89189600013196
14200,68.30313200131059
14300,68.72875600121915
14400,69.28784999996424
14500,69.51435100100935
14600,69.83772500045598
14700,70.09230300039053
14800,70.36364400014281
14900,70.58916700072587
15000,70.8049820009619
15100,71.06577599979937
15200,71.30533800087869
15300,71.55963700078428
15400,71.80681200139225
15500,72.07647600024939
15600,72.31855200044811
15700,72.54819600097835
15800,72.85159500129521
15900,73.12160800024867
16000,73.38044700026512
16100,73.62433900125325
16200,73.86061800085008
16300,74.11589500121772
16400,74.68965600058436
16500,74.8388400003314
16600,74.98111100122333
16700,75.23401300050318
16800,75.38452500104904
16900,75.54076400026679
17000,75.68415200151503
17100,75.82698100060225
17200,75.95898400060833
17300,76.09720399975777
17400,76.2642680015415
17500,76.58051799982786
17600,76.834118001163
17700,76.92400600016117
17800,77.01410400122404
17900,77.10664600133896
18000,77.2244020011276
18100,77.29319700039923
18200,77.36751000024378
18300,77.4404960013926
18400,77.51432000100613
18500,77.58590900152922
18600,77.66161900013685
18700,77.73299900069833
18800,77.79914000071585
18900,77.86695799976587
19000,77.93694100156426
19100,78.00091700069606
19200,78.61874900013208
19300,78.70933600142598
19400,78.80467200092971
19500,78.899238999933
19600,78.98563500121236
19700,79.07112300023437
19800,79.15500500053167
19900,79.2484550010413
20000,79.3423939999193
20100,79.42585599981248
20200,79.51700100116432
20300,79.6056320015341
20400,79.70152700133622
20500,79.80133300088346
20600,79.884097000584
20700,80.04808800108731
20800,80.12687100097537
20900,80.20132400095463
21000,80.28862800076604
21100,80.39157699979842
21200,80.45136200077832
21300,80.51198600046337
21400,80.57533400133252
21500,80.71313400007784
21600,80.79743500053883
21700,80.88005900010467
21800,80.95297600142658
21900,81.03259699977934
22000,81.12325300090015
22100,81.22780800051987
22200,81.28766399994493
22300,81.35394500009716
22400,81.42085500061512
22500,81.48671700060368
22600,81.55132099986076
22700,81.6075450014323
22800,81.66809900105
22900,81.72537000104785
23000,81.78487700037658
23100,81.84571000002325
23200,81.90249300003052
23300,81.97296399995685
23400,82.03121300041676
23500,82.09861200116575
23600,82.16677900031209
23700,82.22209500148892
23800,82.28132200054824
23900,82.600924000144
24000,82.67418900132179
24100,82.74179700016975
24200,82.8749180007726
24300,82.96159300021827
24400,83.04177300073206
24500,83.13382600061595
24600,83.22825399972498
24700,83.30082100071013
24800,83.37660100124776
24900,83.44986700080335
25000,83.52173500135541
25100,83.60037800110877
25200,83.67294500023127
25300,83.77652300149202
25400,83.83519100025296
25500,83.89476700127125
25600,83.96111800149083
25700,84.0142689999193
25800,84.07063200138509
25900,84.12741400115192
26000,84.18657200038433
26100,84.24859200045466
26200,84.30432699993253
26300,84.36488100141287
26400,84.42739100009203
26500,84.49031900055707
26600,84.55813700146973
26700,84.68022300116718
26800,84.77269500121474
26900,84.8487539999187
27000,84.92125100083649
27100,84.99703100137413
27200,85.08475400134921
27300,85.15948600135744
27400,85.27542600035667
27500,85.33465300127864
27600,85.40247000008821
27700,85.46784299984574
27800,85.52735000103712
27900,85.58706600032747
28000,85.64650200121105
28100,85.71445900015533
28200,85.78164800070226
28300,85.83808200061321
28400,85.90736600011587
28500,85.96785000152886
28600,86.03985800035298
28700,86.11319399997592
28800,86.17179200053215
28900,86.22717799991369
29000,86.28577600046992
29100,86.3435360006988
29200,86.40653500147164
29300,86.46087300032377
29400,86.51814400032163
29500,86.5782089997083
29600,86.63925200141966
29700,86.70686000026762
29800,86.7619660012424
29900,86.81874900124967
30000,86.87783600017428
30100,86.94272000156343
30200,87.0147980004549
30300,87.07255800068378
30400,87.13981700129807
30500,87.20707600004971
30600,87.27587200142443
30700,87.34725099988282
30800,87.41115800105035
30900,87.46884800121188
31000,87.52856400050223
31100,87.58716200105846
31200,87.64632000029087
31300,87.70687399990857
31400,87.7654720004648
31500,87.83999400027096
31600,87.9039010014385
31700,87.9739540014416
31800,88.04253900051117
31900,88.09960100054741
32000,88.16197100095451
32100,88.22210600040853
32200,88.29397500120103
32300,88.3659129999578
32400,88.42507000081241
32500,88.49903400056064
32600,88.56301000155509
32700,88.69522299990058
32800,88.81730900146067
32900,88.89071400091052
33000,88.96607500128448
33100,89.04583599977195
33200,89.15297500044107
33300,89.21750999987125
33400,89.27436199970543
33500,89.33400800079107
33600,89.3950510006398
33700,89.45518600009382
33800,89.52342300117016
33900,89.57873900048435
34000,94.49778800085187
34100,94.63007100112736
34200,94.68671400099993
34300,94.74971200153232
34400,94.80216499976814
34500,94.86041400022805
34600,94.91922200098634
34700,94.97879800014198
34800,95.04130700044334
34900,95.09508700110018
35000,95.14760900102556
35100,95.20306400023401
35200,95.25879899971187
35300,95.36852200143039
35400,95.45107700116932
35500,95.51742800138891
